channel_id,type,Q_m3s,V_ms,Re,tau_w_Pa,dP_Pa,L_m,Dh_m
ch_0,tapered,8.215348e-7,1.095380,248.81,40.8942,2330.28,0.010000,0.000750
ch_1,tapered,4.107674e-7,0.547690,124.40,20.4471,2004.58,0.017205,0.000750
ch_2,tapered,4.107674e-7,0.547690,124.40,20.4471,2004.58,0.017205,0.000750
ch_3,tapered,4.107674e-7,0.547690,124.40,20.4471,1165.14,0.010000,0.000750
ch_4,tapered,4.107674e-7,0.547690,124.40,20.4471,1165.14,0.010000,0.000750
ch_5,tapered,4.107674e-7,0.547690,124.40,20.4471,1165.14,0.010000,0.000750
ch_6,tapered,4.107674e-7,0.547690,124.40,20.4471,1165.14,0.010000,0.000750
ch_7,tapered,4.107674e-7,0.547690,124.40,20.4471,2004.58,0.017205,0.000750
ch_8,tapered,4.107674e-7,0.547690,124.40,20.4471,2004.58,0.017205,0.000750
ch_9,tapered,8.215348e-7,1.095380,248.81,40.8942,2330.28,0.010000,0.000750
